                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.115,                 5.0414,                 3.9907,                0.00034,                0.06313,                0.00018,                  5e-05,                 4.3968,                 4.9036,                 3.5474,               0.003325,               0.003325,               0.003325
                      2,                 3.5548,                 3.9329,                 3.2684,                0.01166,                0.24605,                0.01009,                  0.003,                 3.0665,                 3.6546,                  2.725,              0.0066517,              0.0066517,              0.0066517
                      3,                 2.9791,                 3.2778,                 2.5843,                0.11591,                0.15208,                0.05999,                0.01804,                 2.7225,                 4.4611,                 2.3373,              0.0099718,              0.0099718,              0.0099718
                      4,                 2.7265,                 2.9441,                 2.2721,                0.25388,                0.21879,                0.15049,                0.05632,                  2.316,                 2.5686,                 2.0163,              0.0099703,              0.0099703,              0.0099703
                      5,                 2.5907,                 2.7414,                 2.1397,                0.25391,                0.24534,                0.16736,                0.06368,                 2.2734,                 2.9157,                 1.9465,              0.0099703,              0.0099703,              0.0099703
                      6,                 2.4921,                 2.5891,                 2.0493,                0.29545,                0.25538,                0.20469,                0.07942,                 2.2521,                 2.6243,                 1.9483,              0.0099604,              0.0099604,              0.0099604
                      7,                  2.411,                 2.5028,                 1.9696,                0.35276,                0.28766,                0.23707,                0.08571,                  2.247,                 2.4021,                 1.8891,              0.0099505,              0.0099505,              0.0099505
                      8,                 2.3673,                 2.4268,                 1.9253,                0.37611,                 0.2726,                0.24094,                0.08878,                 2.1552,                 2.4275,                 1.8475,              0.0099406,              0.0099406,              0.0099406
                      9,                 2.3197,                 2.3519,                 1.8735,                0.18504,                0.14204,                 0.0957,                0.03361,                 2.3689,                 3.1258,                 1.9824,              0.0099307,              0.0099307,              0.0099307
                     10,                 2.2685,                 2.2891,                 1.8226,                0.42236,                0.35581,                0.32339,                 0.1258,                 2.1362,                 2.2037,                 1.8206,              0.0099208,              0.0099208,              0.0099208
                     11,                 2.2566,                 2.2555,                 1.7987,                0.40175,                0.35581,                0.32337,                0.12026,                 2.1188,                 2.1868,                 1.7791,              0.0099109,              0.0099109,              0.0099109
                     12,                 2.2275,                 2.2288,                 1.7746,                 0.3633,                0.31349,                0.26293,                0.10105,                 2.1057,                 2.2677,                 1.7837,               0.009901,               0.009901,               0.009901
                     13,                 2.1988,                 2.1844,                 1.7598,                0.40822,                0.35581,                0.31463,                0.10714,                 2.1244,                 2.2157,                 1.7703,              0.0098911,              0.0098911,              0.0098911
                     14,                 2.1723,                 2.1294,                 1.7294,                0.45178,                0.38737,                0.35773,                0.13905,                 2.0465,                 2.1487,                 1.7093,              0.0098812,              0.0098812,              0.0098812
                     15,                  2.179,                 2.1367,                 1.7177,                0.45786,                0.35624,                0.31954,                0.12028,                 2.0854,                 2.1853,                 1.7426,              0.0098713,              0.0098713,              0.0098713
                     16,                 2.1623,                 2.1173,                 1.7178,                0.39396,                 0.3637,                0.30566,                0.12246,                 2.0645,                 2.1295,                 1.7401,              0.0098614,              0.0098614,              0.0098614
                     17,                 2.1406,                  2.091,                 1.6972,                0.43762,                0.40746,                0.34323,                0.13699,                 2.0127,                 2.1364,                 1.6983,              0.0098515,              0.0098515,              0.0098515
                     18,                 2.1181,                 2.0319,                 1.6888,                0.49957,                0.38809,                0.37508,                0.15656,                 2.0054,                 2.0236,                 1.6814,              0.0098416,              0.0098416,              0.0098416
                     19,                  2.115,                 2.0411,                 1.6756,                0.48776,                0.42396,                0.38787,                 0.1626,                  1.991,                 2.0024,                 1.6758,              0.0098317,              0.0098317,              0.0098317
                     20,                 2.1112,                  2.011,                 1.6621,                0.46167,                0.39885,                0.36999,                0.14409,                 2.0241,                 2.0415,                 1.6788,              0.0098218,              0.0098218,              0.0098218
                     21,                 2.0923,                 1.9841,                 1.6574,                0.48195,                0.39096,                0.38735,                0.14296,                 2.0629,                 2.0385,                 1.6864,              0.0098119,              0.0098119,              0.0098119
                     22,                 2.0924,                   1.99,                 1.6609,                0.49088,                0.40818,                0.37787,                 0.1577,                 2.0131,                 1.9916,                 1.6905,               0.009802,               0.009802,               0.009802
                     23,                 2.0927,                  1.988,                 1.6397,                 0.4991,                 0.4297,                0.41962,                0.17224,                 1.9808,                 1.9331,                 1.6465,              0.0097921,              0.0097921,              0.0097921
                     24,                  2.065,                 1.9464,                  1.619,                0.45699,                0.42562,                0.36515,                0.14867,                 2.0063,                 2.0092,                  1.678,              0.0097822,              0.0097822,              0.0097822
                     25,                 2.0683,                 1.9271,                 1.6179,                0.53225,                0.42683,                0.41932,                0.17953,                 1.9927,                 1.8863,                 1.6647,              0.0097723,              0.0097723,              0.0097723
                     26,                 2.0336,                 1.9221,                  1.633,                0.48591,                0.42826,                0.41486,                0.17532,                   1.99,                 1.9117,                 1.6648,              0.0097624,              0.0097624,              0.0097624
                     27,                 2.0523,                 1.9095,                 1.6131,                0.46642,                0.42755,                0.37887,                 0.1557,                 1.9818,                 2.0434,                 1.6495,              0.0097525,              0.0097525,              0.0097525
                     28,                 2.0371,                 1.8912,                 1.6299,                0.53638,                0.42683,                0.42829,                0.17515,                 1.9854,                 1.8966,                 1.6657,              0.0097426,              0.0097426,              0.0097426
                     29,                 2.0466,                 1.8989,                 1.6144,                0.52161,                0.43113,                0.41805,                 0.1714,                 1.9744,                 1.9118,                 1.6522,              0.0097327,              0.0097327,              0.0097327
                     30,                 2.0442,                 1.8941,                 1.5919,                 0.5252,                0.43329,                 0.4272,                 0.1784,                 1.9727,                 1.9055,                 1.6484,              0.0097228,              0.0097228,              0.0097228
                     31,                 2.0336,                 1.8834,                 1.6035,                0.45621,                0.40459,                0.36963,                0.15056,                 1.9992,                  1.974,                 1.6588,              0.0097129,              0.0097129,              0.0097129
                     32,                 2.0133,                 1.8535,                 1.5822,                0.51566,                0.45768,                0.43725,                 0.1885,                 1.9603,                 1.8452,                 1.6242,               0.009703,               0.009703,               0.009703
                     33,                  2.019,                 1.8579,                 1.5827,                0.54086,                0.44196,                0.43691,                  0.181,                 1.9701,                 1.8753,                 1.6387,              0.0096931,              0.0096931,              0.0096931
                     34,                 2.0028,                 1.8565,                  1.576,                0.54218,                0.45768,                0.44963,                 0.1874,                 1.9711,                 1.8454,                  1.639,              0.0096832,              0.0096832,              0.0096832
                     35,                 2.0043,                 1.8351,                 1.5676,                0.52801,                0.44692,                0.43573,                0.17746,                 1.9688,                 1.8853,                 1.6287,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.9757,                 1.8008,                 1.5623,                0.52541,                0.46485,                0.44282,                0.19123,                 1.9638,                 1.8078,                  1.629,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.9915,                  1.811,                 1.5747,                0.53458,                0.45552,                0.42708,                0.17821,                 1.9576,                 1.8724,                 1.6238,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.9849,                 1.8014,                 1.5643,                0.52989,                0.44978,                0.45364,                 0.1912,                  1.947,                 1.8301,                 1.6188,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.9791,                 1.8146,                 1.5568,                0.53615,                0.45839,                0.45575,                0.18558,                 1.9565,                 1.8777,                 1.6174,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.9631,                 1.7877,                 1.5627,                0.52224,                 0.4791,                0.45676,                0.19358,                 1.9211,                 1.8202,                 1.6036,              0.0096238,              0.0096238,              0.0096238
                     41,                 1.9823,                 1.7967,                 1.5526,                0.54598,                0.47346,                0.45978,                0.19235,                 1.9378,                 1.7978,                 1.5915,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.9662,                 1.7613,                 1.5352,                0.57092,                0.47059,                0.45645,                0.18732,                 1.9371,                 1.8513,                 1.5785,               0.009604,               0.009604,               0.009604
                     43,                 1.9775,                 1.7788,                 1.5436,                0.51683,                 0.4627,                0.44442,                0.18395,                 1.9336,                 1.8449,                 1.5877,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.9624,                 1.7439,                 1.5304,                0.57879,                0.45839,                0.47926,                0.19978,                 1.9569,                 1.7965,                 1.6089,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.9703,                 1.7467,                 1.5258,                0.55364,                 0.4878,                0.46715,                0.19978,                 1.9479,                 1.7891,                 1.6012,              0.0095743,              0.0095743,              0.0095743
                     46,                 1.9583,                 1.7417,                 1.5413,                0.53219,                0.48063,                0.47483,                0.20637,                 1.9553,                 1.7586,                 1.6096,              0.0095644,              0.0095644,              0.0095644
                     47,                  1.974,                 1.7589,                 1.5489,                 0.5482,                 0.4709,                0.46204,                0.19459,                 1.9569,                 1.8144,                 1.6005,              0.0095545,              0.0095545,              0.0095545
                     48,                 1.9562,                 1.7507,                 1.5344,                0.54664,                0.49735,                0.48822,                0.21221,                 1.8983,                 1.7694,                 1.5588,              0.0095446,              0.0095446,              0.0095446
                     49,                  1.956,                 1.7305,                 1.5219,                 0.5609,                0.48565,                0.49125,                0.20341,                 1.9281,                  1.796,                   1.59,              0.0095347,              0.0095347,              0.0095347
                     50,                  1.953,                 1.7374,                 1.5416,                0.54687,                0.49857,                0.49419,                0.21133,                 1.9165,                 1.7334,                  1.593,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.9495,                 1.7398,                 1.5334,                0.58839,                 0.4878,                0.50269,                0.20827,                 1.9423,                 1.7545,                 1.5954,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.9403,                 1.7299,                 1.5259,                0.52922,                0.49514,                0.49045,                0.20907,                 1.9082,                 1.7583,                 1.5788,               0.009505,               0.009505,               0.009505
                     53,                 1.9431,                 1.7221,                 1.5064,                0.60544,                0.46453,                0.50878,                0.21695,                 1.9059,                 1.7326,                 1.5823,              0.0094951,              0.0094951,              0.0094951
                     54,                 1.9248,                  1.692,                 1.5041,                0.54369,                0.51435,                0.51285,                0.22122,                 1.8966,                 1.7081,                 1.5629,              0.0094852,              0.0094852,              0.0094852
                     55,                 1.9226,                 1.6924,                 1.4916,                0.55645,                0.49928,                0.50487,                0.21378,                 1.9142,                 1.7655,                 1.5481,              0.0094753,              0.0094753,              0.0094753
                     56,                  1.939,                 1.7096,                 1.4968,                0.60177,                0.47418,                0.51276,                0.21993,                 1.8986,                 1.7175,                 1.5527,              0.0094654,              0.0094654,              0.0094654
