                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1792,                  6.133,                 4.1235,                  8e-05,                0.01471,                  8e-05,                  3e-05,                 4.7594,                 6.2913,                 4.0561,             0.00065079,             0.00065079,             0.00065079
                      2,                 4.0707,                 5.0229,                 3.8464,                  4e-05,                0.00735,                  2e-05,                  1e-05,                 4.2531,                 6.0514,                 3.4403,              0.0013044,              0.0013044,              0.0013044
                      3,                 3.9756,                   4.74,                 3.4849,                0.00031,                0.05882,                0.00017,                  5e-05,                 3.7727,                 5.0626,                 2.8521,              0.0019448,              0.0019448,              0.0019448
                      4,                 3.8714,                 4.5022,                 3.1949,                0.00017,                0.02941,                  9e-05,                  5e-05,                 4.6559,                 6.7404,                 4.2904,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.8624,                 4.3338,                  3.127,                0.00026,                0.04412,                0.00016,                  6e-05,                 3.9651,                 8.3599,                 3.2403,              0.0019406,              0.0019406,              0.0019406
                      6,                  3.876,                 4.1708,                 2.9493,                0.00083,                  0.125,                0.00047,                0.00013,                 3.6275,                 4.3664,                 2.7494,              0.0019208,              0.0019208,              0.0019208
                      7,                 3.8429,                 4.1654,                 2.9461,                0.00116,                0.19853,                 0.0007,                0.00016,                 3.6396,                 5.6874,                 2.9469,               0.001901,               0.001901,               0.001901
                      8,                  3.831,                 4.0734,                 2.8695,                0.00058,                0.11029,                0.00033,                  9e-05,                  3.616,                 4.9322,                 2.6802,              0.0018812,              0.0018812,              0.0018812
                      9,                 3.8697,                 3.9984,                 2.8119,                 0.0003,                0.05147,                0.00022,                  9e-05,                 3.4805,                 4.2903,                 2.6854,              0.0018614,              0.0018614,              0.0018614
                     10,                 3.7504,                 3.9674,                 2.7948,                0.00202,                0.07353,                0.00111,                0.00039,                 3.3367,                 4.2211,                  2.635,              0.0018416,              0.0018416,              0.0018416
                     11,                 3.6966,                 3.9626,                 2.7904,                  0.003,                0.55147,                0.00345,                0.00102,                  3.107,                 3.9739,                 2.6616,              0.0018218,              0.0018218,              0.0018218
                     12,                 3.5269,                 3.9691,                 2.8174,                 0.0021,                0.39706,                0.00256,                0.00071,                 3.1363,                 4.3401,                 2.5078,               0.001802,               0.001802,               0.001802
                     13,                 3.3993,                 3.8794,                 2.7168,                0.00236,                0.44118,                 0.0039,                0.00118,                 3.0646,                 4.5759,                 2.5262,              0.0017822,              0.0017822,              0.0017822
                     14,                 3.3429,                 3.8799,                 2.6551,                0.07625,                0.05882,                0.02088,                0.00511,                 2.9093,                 3.7148,                  2.367,              0.0017624,              0.0017624,              0.0017624
                     15,                 3.2959,                 3.8609,                 2.5813,                0.00388,                0.61765,                0.00963,                0.00266,                 2.9179,                 3.8236,                  2.461,              0.0017426,              0.0017426,              0.0017426
                     16,                 3.1911,                 3.6811,                 2.5377,                0.00396,                0.63235,                0.00914,                 0.0026,                 2.8894,                 3.9452,                 2.4017,              0.0017228,              0.0017228,              0.0017228
                     17,                 3.1973,                 3.7063,                 2.5333,                0.21611,                0.05147,                 0.0292,                 0.0096,                 2.7734,                 3.6653,                 2.2516,               0.001703,               0.001703,               0.001703
                     18,                 3.1532,                 3.5805,                  2.462,                0.00412,                0.69853,                0.01139,                0.00337,                 2.7437,                  3.677,                 2.2731,              0.0016832,              0.0016832,              0.0016832
                     19,                 3.0767,                 3.5522,                 2.4753,                 0.1544,                0.07353,                0.04166,                0.01433,                 2.6381,                 4.3522,                 2.2251,              0.0016634,              0.0016634,              0.0016634
                     20,                 3.0605,                 3.5367,                 2.3741,                0.01229,                0.30147,                0.01353,                0.00463,                 2.6898,                 3.5632,                 2.1831,              0.0016436,              0.0016436,              0.0016436
                     21,                 3.0734,                 3.4541,                 2.3901,                0.10894,                0.07353,                 0.0428,                0.01439,                 2.6439,                  3.238,                 2.1679,              0.0016238,              0.0016238,              0.0016238
                     22,                  3.044,                 3.3678,                  2.342,                0.09546,                0.02206,                0.01824,                 0.0056,                 2.6404,                 3.8557,                 2.1693,               0.001604,               0.001604,               0.001604
                     23,                 2.9503,                 3.3212,                 2.3051,                0.24055,                0.20264,                0.11399,                0.03916,                 2.6028,                 4.6353,                 2.1371,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.9678,                 3.3211,                 2.3047,                0.11329,                0.19118,                0.06986,                 0.0243,                 2.5087,                 3.1674,                 2.1038,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.9414,                 3.3168,                 2.3141,                0.16214,                0.18382,                0.07116,                0.02409,                 2.5666,                 3.3052,                 2.0741,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.9219,                 3.2915,                 2.3006,                0.23336,                0.14706,                0.07954,                0.03107,                  2.537,                 3.0927,                 2.0862,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.8856,                 3.1297,                 2.1794,                0.31826,                0.14706,                0.13668,                0.04794,                 2.5303,                 2.8836,                 2.0843,               0.001505,               0.001505,               0.001505
                     28,                 2.8714,                 3.1246,                 2.1935,                0.37683,                0.06618,                0.06892,                0.02039,                 2.7053,                 3.7467,                 2.1493,              0.0014852,              0.0014852,              0.0014852
                     29,                  2.839,                  3.154,                 2.1651,                0.25208,                0.16912,                0.13648,                0.05041,                 2.5543,                 2.8023,                 2.0555,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.8421,                 3.0893,                 2.1799,                0.18035,                0.22794,                0.09314,                0.04071,                 2.5034,                 3.2727,                 2.0818,              0.0014456,              0.0014456,              0.0014456
                     31,                 2.8492,                 3.1007,                 2.1798,                0.29538,                0.11765,                0.09561,                0.03136,                 2.5678,                 3.0824,                 2.0814,              0.0014258,              0.0014258,              0.0014258
                     32,                 2.7953,                 2.9816,                 2.0951,                 0.2573,                0.17578,                0.09616,                0.03521,                  2.534,                 2.9913,                 2.0487,               0.001406,               0.001406,               0.001406
