                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9747,                 1.8004,                  1.417,                0.63725,                0.55322,                 0.5943,                 0.2638,                 1.8417,                 1.5645,                 1.3464,               0.008911,               0.008911,               0.008911
                     36,                 1.9652,                 1.7976,                 1.4182,                0.63277,                0.56313,                0.58984,                0.26389,                 1.8365,                 1.5614,                 1.3382,               0.008878,               0.008878,               0.008878
                     37,                 1.9756,                 1.8079,                 1.4219,                0.62494,                 0.5825,                0.58864,                0.26498,                  1.833,                  1.544,                 1.3382,               0.008845,               0.008845,               0.008845
                     38,                 1.9647,                 1.7958,                 1.4142,                0.63318,                0.55667,                 0.5959,                0.26916,                 1.8294,                 1.5278,                 1.3362,               0.008812,               0.008812,               0.008812
                     39,                 1.9641,                 1.7796,                 1.4103,                0.63625,                0.56815,                0.60281,                0.27209,                 1.8344,                 1.5212,                 1.3431,               0.008779,               0.008779,               0.008779
                     40,                 1.9581,                 1.7794,                 1.4128,                0.64449,                0.56385,                0.60456,                0.27122,                 1.8303,                  1.523,                 1.3454,               0.008746,               0.008746,               0.008746
                     41,                 1.9671,                 1.7931,                 1.4185,                0.64255,                0.55966,                0.60051,                0.26594,                 1.8498,                 1.5347,                 1.3521,               0.008713,               0.008713,               0.008713
                     42,                 1.9593,                 1.7778,                 1.4107,                0.63291,                0.57142,                0.60323,                0.26767,                 1.8468,                 1.5319,                   1.35,                0.00868,                0.00868,                0.00868
                     43,                 1.9591,                 1.7752,                 1.4098,                0.63525,                0.57345,                0.60492,                0.26994,                 1.8406,                 1.5221,                 1.3469,               0.008647,               0.008647,               0.008647
                     44,                 1.9507,                 1.7745,                 1.4096,                 0.6286,                0.58522,                0.61084,                0.27201,                 1.8397,                 1.5075,                 1.3466,               0.008614,               0.008614,               0.008614
