                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2925,                 3.2528,                 1.7141,                0.37616,                0.26948,                0.24404,                0.09592,                 2.0697,                 2.6708,                 1.6195,              0.0033305,              0.0033305,              0.0033305
                      2,                 2.2808,                 2.6282,                  1.655,                0.36007,                0.32209,                0.24394,                 0.0936,                  2.079,                 2.3206,                 1.6011,              0.0066199,              0.0066199,              0.0066199
                      3,                 2.3625,                 2.6351,                 1.7164,                0.19827,                 0.2396,                0.12562,                0.05212,                 2.1409,                 2.5497,                 1.7177,              0.0098652,              0.0098652,              0.0098652
                      4,                 2.3886,                 2.6272,                 1.7433,                0.38334,                0.29627,                0.26343,                0.10466,                 2.0619,                 2.3151,                 1.5507,               0.009802,               0.009802,               0.009802
                      5,                 2.3257,                 2.5166,                 1.6931,                0.42993,                0.33286,                0.28872,                0.11842,                 2.0544,                 2.2401,                 1.6305,               0.009802,               0.009802,               0.009802
                      6,                 2.2818,                 2.4352,                 1.6688,                0.41078,                0.36158,                0.31471,                0.11914,                 2.0109,                 2.1933,                 1.4955,               0.009736,               0.009736,               0.009736
                      7,                 2.2531,                 2.3725,                 1.6388,                0.43872,                0.36054,                0.32637,                0.12684,                 1.9953,                 2.1846,                 1.5575,                0.00967,                0.00967,                0.00967
                      8,                 2.2342,                 2.3372,                 1.6297,                0.43887,                  0.401,                0.36978,                0.15526,                 1.9481,                 2.0751,                 1.5084,               0.009604,               0.009604,               0.009604
                      9,                 2.2062,                 2.2925,                 1.6068,                0.44564,                 0.4132,                0.37831,                0.16015,                 1.9488,                 2.0839,                 1.4707,               0.009538,               0.009538,               0.009538
                     10,                 2.1891,                 2.2566,                 1.5976,                0.47395,                0.38522,                0.37222,                 0.1345,                 2.0294,                 2.0514,                 1.4938,               0.009472,               0.009472,               0.009472
                     11,                 2.1794,                 2.2348,                 1.5895,                0.48085,                0.43321,                0.38658,                0.15568,                 1.9404,                 2.0137,                 1.4469,               0.009406,               0.009406,               0.009406
                     12,                  2.167,                 2.2039,                 1.5828,                0.47641,                0.41392,                0.39264,                0.16351,                 1.8784,                 1.9684,                 1.4818,                0.00934,                0.00934,                0.00934
                     13,                 2.1537,                 2.1883,                 1.5779,                0.50224,                0.43902,                0.40713,                0.16565,                 1.8832,                 1.9668,                  1.447,               0.009274,               0.009274,               0.009274
                     14,                 2.1427,                 2.1806,                 1.5696,                0.53039,                0.43472,                0.43711,                0.18785,                 1.8783,                 1.9255,                 1.4502,               0.009208,               0.009208,               0.009208
                     15,                 2.1365,                  2.153,                 1.5623,                0.49342,                0.45194,                0.42528,                0.16948,                 1.9218,                 1.9133,                 1.4337,               0.009142,               0.009142,               0.009142
                     16,                  2.124,                 2.1438,                 1.5568,                0.55065,                0.46341,                0.47092,                0.19275,                  1.927,                 1.8469,                  1.452,               0.009076,               0.009076,               0.009076
                     17,                 2.1075,                 2.1148,                 1.5451,                0.54432,                0.45768,                0.46761,                0.19633,                 1.8795,                 1.8364,                 1.4438,                0.00901,                0.00901,                0.00901
                     18,                 2.1196,                 2.1284,                 1.5505,                0.54229,                0.47633,                0.47719,                0.20529,                 1.8709,                 1.8045,                 1.4535,               0.008944,               0.008944,               0.008944
                     19,                  2.109,                 2.1045,                 1.5411,                0.53445,                0.46364,                0.47048,                0.19578,                 1.8657,                 1.8341,                 1.4318,               0.008878,               0.008878,               0.008878
                     20,                 2.0949,                 2.0793,                 1.5408,                0.53966,                0.49283,                0.47417,                0.19602,                 1.8976,                 1.7829,                 1.4495,               0.008812,               0.008812,               0.008812
                     21,                 2.0969,                 2.0721,                 1.5282,                0.54341,                0.48852,                0.48177,                0.19942,                 1.8746,                 1.7785,                 1.4238,               0.008746,               0.008746,               0.008746
                     22,                 2.0863,                 2.0634,                 1.5259,                0.54271,                0.51004,                0.49584,                0.21322,                 1.8331,                 1.7721,                 1.4123,                0.00868,                0.00868,                0.00868
                     23,                 2.0861,                 2.0454,                 1.5234,                 0.5465,                0.49211,                0.48491,                0.20727,                 1.8489,                 1.7857,                 1.4144,               0.008614,               0.008614,               0.008614
                     24,                 2.0777,                  2.037,                 1.5161,                0.56149,                0.50215,                0.49253,                0.21276,                 1.8509,                 1.7483,                 1.4123,               0.008548,               0.008548,               0.008548
                     25,                 2.0768,                 2.0339,                 1.5143,                0.56703,                 0.4835,                0.47858,                0.20255,                  1.846,                 1.7781,                 1.4114,               0.008482,               0.008482,               0.008482
                     26,                 2.0743,                 2.0254,                 1.5119,                0.57901,                0.50287,                0.50773,                0.21663,                 1.8311,                  1.719,                 1.3997,               0.008416,               0.008416,               0.008416
                     27,                 2.0735,                 2.0278,                 1.5114,                0.56974,                 0.5043,                0.50879,                0.22153,                 1.8291,                 1.7107,                 1.3948,                0.00835,                0.00835,                0.00835
                     28,                 2.0618,                 2.0065,                   1.51,                0.57415,                0.50487,                0.50658,                0.21698,                 1.8292,                 1.7135,                 1.4081,               0.008284,               0.008284,               0.008284
                     29,                 2.0619,                 2.0002,                 1.5007,                0.58604,                0.52009,                0.51952,                0.22146,                 1.8301,                 1.7126,                 1.3857,               0.008218,               0.008218,               0.008218
                     30,                 2.0578,                 2.0002,                 1.5052,                0.58659,                0.52941,                0.53631,                0.23515,                 1.8192,                 1.6816,                 1.3985,               0.008152,               0.008152,               0.008152
