                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8429,                 1.6379,                 1.5047,                0.68958,                0.61047,                0.67673,                0.31065,                 1.7948,                 1.3684,                 1.4577,              0.0096832,              0.0096832,              0.0096832
                     35,                 1.8375,                 1.6385,                 1.5026,                0.67691,                0.61621,                0.67927,                0.31276,                 1.7943,                 1.3563,                 1.4526,              0.0096733,              0.0096733,              0.0096733
                     36,                 1.8318,                 1.6238,                  1.501,                0.69388,                0.61836,                0.68478,                0.31719,                 1.7965,                 1.3333,                 1.4566,              0.0096634,              0.0096634,              0.0096634
                     37,                 1.8281,                 1.6242,                 1.5023,                0.72122,                0.61047,                0.69117,                0.31922,                 1.7877,                 1.3318,                 1.4537,              0.0096535,              0.0096535,              0.0096535
                     38,                 1.8142,                 1.6114,                 1.4956,                0.72768,                0.61406,                0.69156,                0.31914,                 1.7907,                  1.334,                 1.4574,              0.0096436,              0.0096436,              0.0096436
                     39,                 1.8211,                 1.6038,                 1.4896,                0.72626,                0.62044,                0.69156,                0.31805,                 1.7935,                 1.3356,                 1.4643,              0.0096337,              0.0096337,              0.0096337
                     40,                 1.8015,                 1.5937,                 1.4904,                0.74018,                0.60904,                0.69443,                 0.3217,                 1.7848,                 1.3271,                 1.4637,              0.0096238,              0.0096238,              0.0096238
                     41,                  1.819,                 1.5896,                 1.4878,                0.74708,                0.60179,                 0.6929,                0.32257,                  1.792,                 1.3242,                 1.4669,              0.0096139,              0.0096139,              0.0096139
                     42,                 1.8133,                 1.5896,                 1.4907,                0.73699,                0.60545,                0.69152,                0.32408,                 1.7919,                 1.3118,                 1.4657,               0.009604,               0.009604,               0.009604
                     43,                 1.8107,                 1.5738,                 1.4764,                0.71676,                0.62554,                0.69321,                0.32211,                 1.7919,                 1.3158,                 1.4654,              0.0095941,              0.0095941,              0.0095941
                     44,                 1.8141,                 1.5793,                 1.4814,                0.72373,                 0.6198,                0.69199,                0.32171,                  1.791,                 1.3134,                  1.461,              0.0095842,              0.0095842,              0.0095842
                     45,                 1.8025,                 1.5656,                 1.4758,                0.70918,                0.62769,                0.69449,                0.32148,                 1.7949,                 1.3081,                 1.4607,              0.0095743,              0.0095743,              0.0095743
                     46,                  1.795,                 1.5562,                 1.4738,                0.70388,                0.63343,                0.69557,                0.32222,                 1.7922,                 1.3062,                  1.458,              0.0095644,              0.0095644,              0.0095644
                     47,                  1.792,                 1.5584,                 1.4716,                0.70122,                0.62799,                0.69465,                0.32315,                 1.7907,                 1.3054,                 1.4563,              0.0095545,              0.0095545,              0.0095545
                     48,                  1.793,                 1.5492,                 1.4715,                0.70062,                0.63128,                0.69501,                0.32307,                 1.7889,                 1.3049,                 1.4548,              0.0095446,              0.0095446,              0.0095446
                     49,                 1.7809,                 1.5366,                 1.4707,                0.70636,                0.63158,                0.69364,                0.32395,                  1.789,                 1.3042,                 1.4528,              0.0095347,              0.0095347,              0.0095347
                     50,                 1.7887,                 1.5386,                 1.4664,                0.70039,                0.63486,                0.69289,                0.32395,                 1.7907,                 1.3014,                  1.453,              0.0095248,              0.0095248,              0.0095248
                     51,                 1.7797,                 1.5242,                 1.4659,                0.69457,                0.63947,                0.69269,                0.32489,                 1.7899,                 1.2974,                 1.4516,              0.0095149,              0.0095149,              0.0095149
                     52,                 1.7846,                  1.535,                 1.4677,                0.70904,                0.62933,                 0.6923,                0.32563,                 1.7895,                 1.2945,                 1.4518,               0.009505,               0.009505,               0.009505
                     53,                  1.779,                 1.5185,                 1.4686,                0.70845,                0.62912,                0.69366,                0.32534,                 1.7891,                 1.2912,                 1.4527,              0.0094951,              0.0094951,              0.0094951
                     54,                  1.773,                 1.5162,                 1.4559,                0.70962,                0.62482,                0.69434,                0.32468,                 1.7907,                  1.291,                 1.4525,              0.0094852,              0.0094852,              0.0094852
                     55,                  1.772,                 1.5135,                 1.4631,                0.70817,                0.62554,                0.69505,                0.32516,                 1.7906,                 1.2855,                 1.4522,              0.0094753,              0.0094753,              0.0094753
                     56,                 1.7647,                 1.5011,                 1.4527,                0.70994,                0.62554,                0.69449,                0.32506,                 1.7912,                 1.2851,                 1.4519,              0.0094654,              0.0094654,              0.0094654
                     57,                 1.7628,                  1.501,                 1.4486,                0.71026,                0.62955,                0.69571,                0.32588,                 1.7923,                 1.2825,                 1.4531,              0.0094555,              0.0094555,              0.0094555
                     58,                 1.7673,                 1.4943,                  1.455,                0.71035,                0.63335,                0.69691,                0.32726,                 1.7913,                  1.281,                  1.452,              0.0094456,              0.0094456,              0.0094456
                     59,                 1.7567,                 1.4896,                 1.4475,                0.70389,                0.63558,                0.69761,                 0.3276,                  1.792,                 1.2782,                 1.4513,              0.0094357,              0.0094357,              0.0094357
                     60,                 1.7587,                 1.4814,                  1.445,                0.70195,                0.64132,                0.69861,                0.32862,                 1.7901,                 1.2746,                  1.451,              0.0094258,              0.0094258,              0.0094258
                     61,                 1.7537,                 1.4813,                 1.4481,                0.70402,                0.63558,                0.69879,                0.32888,                 1.7912,                 1.2716,                 1.4514,              0.0094159,              0.0094159,              0.0094159
                     62,                 1.7474,                  1.468,                 1.4414,                0.70769,                0.63773,                0.69875,                0.32992,                 1.7909,                 1.2692,                 1.4507,               0.009406,               0.009406,               0.009406
